app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
cnbc,-583,2814.4210526315787,3426.9473684210525,14971.315789473685,124657.42105263159,286197.21052631584,469234.05263157905,641274.0526,803239.5263157897,1024375.105263158,1210533.6315789477,1442595.1052631582,1608249.8421052634,1865568.5789473692,2018807.5263157897,2234551.1052631577,2466967.315789474,2723789.4210526315,2948827.105263158,3040361
cnbc,-583,2681.3684210526317,3817.421052631579,21964.78947368425,113611.00000000009,295573.2105263158,422835.0000000001,666024.7894736842,904106.3684210527,1085430.0526315793,1250506.7894736843,1487240.3684210528,1643377.7368421056,1805545.631578948,2041215,2284546.6842105263,2542209.7368421056,2783129.2105263164,2958493.315789474,3040217
cnbc,-583,3051.894736842105,3848.684210526316,69711.31579,224113.21052631576,390930.8947,590739.1053,742586.8947368421,870099.7368421053,1094526.6842105263,1266239.7368421052,1503011.5263157894,1693029,1903550.2631578946,2126842.052631579,2325727.9473684207,2556398.263157895,2774581.8421052634,3005465,3041253
cnbc,-583,2816.105263157895,3859.2631578947367,69039.57894736841,158145.57894736843,308124.42105263163,500884.52631578944,728337.8947,894067.0526,1113929.052631579,1302361.3684210528,1600194.5263157894,1879794.2105263155,2027289.8947368423,2234381.3684210526,2430546.947368421,2631395.052631579,2762785.6842105263,2964910.8421052634,3038338
cnbc,-583,2684.6315789473683,3335.421052631579,53507.57894736834,138825.5789473684,274658.10526315786,412619.05263157876,651680,895849.1578947369,1106389.2631578946,1294013.3684210526,1556203.1578947366,1709133.9999999998,1940248.8421052627,2159515.473684211,2320179.578947368,2539162.4210526315,2787091.789473684,3026081.789473684,3039758
cnbc,-583,2564.9473684210525,3664.8947368421054,73703.73684210525,147239.52631578944,303925.63157894736,443584.3684210524,680370.0526,858624.1578947366,1101653.2105263157,1352841.2105263157,1531095.3157894735,1754826.6842105258,2002396.368421052,2232654.8947368423,2457592.3684210526,2645353.4210526315,2803245.631578947,2979655.1052631577,3038833
cnbc,-583,2615.7894736842104,3746.315789473684,59877.42105263157,143963.52631578947,313186.47368421033,465027.3157894737,705481.4210526313,905495.5263157894,1081600.3684210526,1290979.5263157894,1484537.4210526315,1624742.894736842,1834334.8947368423,2053291.9473684204,2288850.684210526,2519443.1052631577,2712788.1578947366,2970482.4736842103,3038504
cnbc,-583,2622.4736842105262,3754.105263157895,12369.263157894737,112579.05263157896,239404.73684210522,441860.3157894738,658505.3684210528,887282.4210526317,1068737.5789473685,1261473.3684210526,1501318.210526316,1725554.6315789477,1939290.8421052636,2158844.7368421056,2318873.7894736845,2512035.263157895,2736981.157894737,2945467.263157895,3040000
cnbc,-583,2688.315789473684,4234.368421052631,68600.05263157895,142019.73684210525,349529.9473684209,529299.7368421053,692893.5263157894,900971.3157894736,1117988.4736842106,1287470.8947368418,1454257.3157894735,1610969.2105263157,1851186.1578947364,2122265.2105263155,2282027.8421052624,2511673.6315789474,2728903.6315789474,2950390.4736842103,3040351
cnbc,-583,3085.578947368421,3836.7368421052633,71218.63157894736,223637.47368421045,369316.31578947365,489737.8947,674792.5263157893,897165.4736842106,1169414.4210526315,1360712.4210526315,1564710,1754447.1578947366,1944397.1578947364,2144492.6315789474,2339976.5263157897,2566393.4736842103,2815939.2631578944,2944803.578947368,3041620
cnn,-583,2661.0526315789475,6184.105263157895,6480.315789473686,74557.47368421053,190988.63157894736,416040.21052631584,661666.5263157894,893316.2105263158,1061822.7368421052,1288718.9473684211,1521716.6315789474,1815374.315789474,2033614.9473684211,2274204.0000000005,2516070.1052631577,2684292.8421052634,2881674.947368421,3064867.5789473685,3068985
cnn,-583,2661.0526315789475,6113.1578947368425,6480.736842105265,83639.73684210528,185455.73684210525,292734.68421052635,499694.6842105264,766818.0526,977751.1052631579,1107023.7368421052,1334487.5263157894,1577205.0000000002,1792394.8947368423,2025321.6315789477,2327634.8947368423,2531189.4210526315,2777879.947368421,3059121.8421052634,3068964
cnn,-583,2716.2105263157896,6127.368421052632,14826.684210526295,82119.10526315786,244551.94736842104,454874.2631578946,631780.3684210527,834724.1578947366,1046181.6315789471,1210955.7368421052,1455616.578947368,1712125.6315789472,1907336.1578947369,2162071.5263157897,2361538.894736842,2575550.4736842103,2827660.789473684,3053520.578947368,3069492
cnn,-583,2787.4736842105267,6066.105263157895,51794.842105263204,175291.47368421056,356823.05263157893,567230.2105,762525.5789473684,982084.9473684211,1245135.052631579,1408858.8421052631,1625580.315789474,1898563.052631579,2062783.4736842108,2254673.3684210526,2440958.421052632,2640297.7894736845,2815586,3044581.368421053,3069954
cnn,-583,2661.0526315789475,6184.105263157895,6480.736842105265,127414.26315789478,262078.8947368421,451727.7368421053,665711.5263157896,822015.1053,1039688.1578947369,1295034.2631578946,1515616.1578947369,1725981.6315789474,1955644.7894736845,2198007.5263157897,2447039.3157894737,2692807.5263157897,2899980.3684210526,3066784.1578947366,3068964
cnn,-583,2626.2105263157896,4855.894736842108,5815.473684210527,51566.52631578951,174876.10526315807,383251.5789473685,603900.9473684211,777086.5263157897,921609.3684210526,1128991.5789473688,1419169.3684210528,1674866.7368421054,1943476.5263157894,2124466.3157894737,2352068.526,2646716.0000000005,2874389.157894737,3059990.5263157897,3068796
