num_packets_down,num_bytes_down,min_packet_size_down,max_packet_size_down,mean_packet_size_down,std_packet_size_down,min_iat_down,max_iat_down,mean_iat_down,std_iat_down,num_packets_up,num_bytes_up,min_packet_size_up,max_packet_size_up,mean_packet_size_up,std_packet_size_up,min_iat_up,max_iat_up,mean_iat_up,std_iat_up,port_pair,app
29,287183,52,58016,9902.862068965518,15563.680171485646,5.5e-05,0.183438,0.013480607,0.034187506,20,1948,52,569,97.4,117.3153195900958,7.5e-05,0.208018,0.020654737,0.04688101,56236,asahi
29,276430,52,58016,9532.068966,15210.312995584454,4.1e-05,0.430845,0.023869107,0.080479934,22,2052,52,569,93.27272727272728,111.16918972713955,4.4e-05,0.470253,0.033448,0.1009622172750777,37000,asahi
35,600485,52,58016,17156.714285714286,18653.07021026049,3.3e-05,0.040163,0.007851265,0.010851795,35,2643,40,569,75.51428571428572,88.74098841690962,5.6e-05,0.039867,0.008875059,0.012426093,55132,bbc
15,170732,52,58016,11382.133333333331,17256.463128209038,0.000292,0.038704,0.011100714,0.010895401,16,915,52,127,57.1875,18.723314343352783,0.000119,0.038303,0.0121096,0.011254469,33874,newscn
53,560695,40,58520,10579.150943396226,14907.168699341402,5.5e-05,0.302121,0.013804808,0.044910154,40,2463,40,557,61.575,84.00973310521987,0.000123,0.259662,0.018800795,0.047789791,48656,polimiit
322,1560686,40,58520,4846.850931677019,7384.8684435042705,2.6e-05,0.440407,0.006222626,0.032429176,125,5860,40,557,46.88,48.14152523147658,3.7e-05,0.474233,0.016020984,0.050779357,46900,nypost
30,287297,52,59364,9576.566666666668,15988.089734470195,6.6e-05,0.115086,0.012846966,0.021406359,26,2279,40,569,87.65384615384616,104.07149169977043,6e-05,0.134577,0.0162714,0.028402215,37004,asahi
23,170331,52,60712,7405.695652173913,14928.275095008566,4.7e-05,0.284677,0.025314682,0.060648553,21,2471,52,575,117.66666666666669,154.56627488987803,0.000193,0.242277,0.0275943,0.054607936,45548,vaticannewsva
67,1379904,52,60712,20595.58208955224,20301.87544042329,4.7e-05,0.031127,0.005311742,0.006644926,65,4284,40,569,65.90769231,67.51845189393687,3.6e-05,0.046687,0.006202984,0.009004789,36454,rainewsit
42,527020,40,61240,12548.09523809524,18235.904526322447,3.4e-05,0.086656,0.008139976,0.015454465,30,2039,40,557,67.96666666666667,96.45920465,6.3e-05,0.127169,0.012841379,0.025302166,40522,polimiit
29,285864,52,62060,9857.379310344828,15941.270892636314,5.2e-05,0.315076,0.019003429,0.058869196,27,2312,52,569,85.62962962962963,102.3159315920539,3.9e-05,0.290118,0.022893654,0.057506256,54284,asahi
36,600537,52,62060,16681.583333333332,19383.389437313886,3.9e-05,0.043095,0.007250457,0.01002553,37,2747,40,569,74.24324324324324,86.37077868938898,6.3e-05,0.054254,0.008558,0.012325561,47782,bbc
28,253940,52,63408,9069.285714285714,14842.64292841841,4.4e-05,0.039793,0.009574889,0.011306624,25,2152,40,569,86.08,105.07454496689476,5.3e-05,0.058942,0.0132025,0.017839493,32926,abc
11,170524,52,63408,15502.181818181818,24245.13703742745,0.001635,0.032932,0.0131407,0.012141562,11,655,52,127,59.54545454545455,22.50050504483681,8.8e-05,0.037931,0.0169192,0.016682513,39294,newscn
45,1064224,52,63408,23649.422222222223,24833.377495628825,4.9e-05,0.582509,0.022711818,0.087559318,40,2919,40,569,72.975,84.13618005871072,6.3e-05,0.606035,0.027928333,0.097352735,44012,ndtv
11,170524,52,63408,15502.181818181818,22382.917154911607,0.00029,0.023346,0.0136932,0.008741418,11,655,52,127,59.54545454545455,22.50050504483681,0.000102,0.042349,0.0169882,0.014404724,55678,newscn
