app,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
dailymail,-583.0,2498.157894736842,3187.5263157894738,3265.2631578947367,47489.10526315791,89921.63157894737,123556.68421052632,183300.3684210526,269507.4210526316,299311.3157894737,367284.8947368422,434407.10526315786,556442.5789473684,620017.4210526317,742478.5789473683,847273.8421052631,971153.9473684211,1120575.105263158,1253252.6842105265,1265542.0
google,-583.0,3852.8421052631575,4604.105263157895,7850.473684210527,9604.473684210527,15924.210526315788,16980.105263157897,20029.05263157895,61282.99999999997,138011.42105263157,208780.26315789472,342337.52631578944,454042.9999999999,660250.368421052,882704.6842105264,1087493.1052631577,1331160.684210526,1574544.4736842106,1721368.8947368413,1788745.0
google,-583.0,3722.736842105263,4300.21052631579,7768.578947368422,10080.368421052632,16178.526315789473,16499.63157894737,17745.368421052633,39317.315789473665,138016.26315789475,268792.6842105263,466827.2105263158,619171.6315789475,747890.5789473684,904491.8421052631,1120901.736842105,1331919.6315789474,1518886.3684210528,1727208.2631578946,1788060.0
google,-583.0,3903.4736842105262,6097.157894736845,8525.578947368422,10988.31578947369,16396.63157894737,17324.526315789473,25708.42105263158,82235.84210526316,138201.00000000003,241984.6842105265,431188.99999999994,616420.2631578948,824354.6842105268,987521.315789474,1220287.3157894737,1454897.9473684214,1633712.0526315796,1786076.4736842106,1787698.0
msn,-571.0,-448.36842105263145,-559.8421052631584,3170.7368421052633,3313.0526315789475,3172.7894736842104,3015.9473684210525,3103.0,3475.842105263158,3583.2631578947367,3583.263157894737,4281.7368421052615,4758.368421052632,5690.473684210526,24214.684210526306,40376.78947368423,43013.84210526316,49155.52631578948,50350.68421052631,50299.0
msn,-571.0,-418.0,-995.0,3139.0,3340.0,3212.0,3063.0,2914.0,3427.0,3543.0,3628.0,3543.0,4820.0,4724.0,6138.0,26592.0,37526.0,48460.0,50209.0,50131.0
msn,-571.0,-418.0,-995.0,3139.0,3340.0,3212.0,3063.0,2914.0,3427.0,3543.0,3458.0,3543.0,4820.0,4724.0,6138.0,26592.0,37526.0,48460.0,50082.0,50004.0
nbcnews,-583.0,2827.421052631579,2714.3684210526317,2580.684210526316,6120.526315789461,25176.631578947363,85807.89473684209,116712.21052631571,145629.99999999997,256917.6842105263,319180.7368421052,349588.4210526316,368715.4736842105,446090.3157894737,516654.2105263156,649155.1578947365,688076.5263157893,781840.2105263157,864898.0,865243.0
nbcnews,-583.0,2918.3684210526317,2828.842105263158,2494.3684210526317,2799.5789473684213,43608.526315789495,100732.10526315792,131818.0,182982.0,247129.36842105264,259698.00000000003,322923.05263157893,371745.7894736842,429224.1052631579,512101.57894736825,607465.7894736842,710350.4210526316,806211.2631578948,864530.8421052631,864678.0
nbcnews,-583.0,2797.1052631578946,2675.842105263158,2569.421052631579,23686.21052631578,52938.52631578947,78749.31578947367,96663.1052631579,139993.63157894736,180557.2105263158,229492.5789473684,259414.0526315789,359573.4210526315,472290.4736842103,550527.1052631579,611594.4736842104,736301.6315789473,794672.9999999999,865052.5789473684,865441.0
ndtv,-583.0,3125.7894736842104,2917.421052631579,3602.7894736842104,29546.789473684246,56754.000000000015,71684.73684210527,129325.78947368424,176466.6315789474,265608.3157894738,316509.36842105264,350808.7368421053,432571.89473684214,519088.5263157898,609081.5789473685,759876.5263157894,893927.8947368423,1003857.1578947369,1061777.0526315789,1062540.0
ndtv,-583.0,3110.4210526315787,2749.842105263158,3415.7368421052633,3521.1052631578946,22524.473684210527,68182.36842105263,92981.73684210528,149423.6315789474,224240.8947368421,264293.94736842107,327404.8947368421,433155.21052631584,559267.4210526317,617908.6842105264,769703.8421052631,852041.5263157894,960913.5263157896,1060705.0,1061153.0
ndtv,-583.0,3087.3684210526317,3027.684210526316,3648.3684210526317,6410.4736842105285,65487.84210526316,78946.05263157895,129013.1052631579,193837.21052631582,281435.4210526316,349523.1052631579,448756.6842105264,520746.4736842105,578333.9473684211,624286.052631579,733310.3684210529,887031.5263157894,969663.4210526315,1060940.6842105263,1061516.0
newscn,-141.0,826.4736842105261,15202.999999999993,40079.73684210527,53037.31578947369,60319.10526315789,63627.84210526316,64595.31578947369,65562.78947368421,66530.26315789473,67497.73684210527,86202.05263157898,103416.47368421053,105306.26315789473,119682.78947368423,130299.1052631579,131266.57894736843,155221.0,169255.84210526315,169483.0
newscn,-141.0,1124.1578947368423,3453.526315789474,37283.526315789466,55788.89473684211,60033.84210526316,62717.94736842105,66466.26315789475,76174.15789473685,86378.6842105263,104529.3157894737,122679.94736842107,126924.8947368421,134149.63157894736,143148.05263157896,155055.31578947368,166536.8947368421,169418.8947368421,169671.63157894736,169592.0
newscn,-141.0,1049.7368421052631,7774.368421052631,16485.526315789473,33071.84210526315,54979.21052631579,63619.42105263158,64810.15789473684,66000.8947368421,86702.1578947368,102082.36842105263,108594.15789473685,124967.63157894736,128428.6842105263,129761.31578947368,130952.05263157895,144913.31578947365,162847.63157894736,169401.42105263157,169681.0
